Brand,Model,Car/Suv,Title,UsedOrNew,Transmission,Engine,DriveType,FuelType,FuelConsumption,Kilometres,Location,CylindersinEngine,BodyType,Doors,Seats,Price
Volvo,XC60,Volvo Cars Liverpool,2022 Volvo XC60 Ultimate B5 Bright Mhev,DEMO,Automatic,"4 cyl, 2 L",AWD,Premium,7.6 L / 100 km,1041,"Warwick Farm, NSW",4 cyl,SUV, 4 Doors, 5 Seats,88990
Mazda,CX-5,SUV,2017 Mazda CX-5 Maxx Sport (4X2),USED,Automatic,"4 cyl, 2 L",Front,Unleaded,6.4 L / 100 km,185570,"Minchinbury, NSW",4 cyl,SUV, 4 Doors, 5 Seats,24990
Mazda,CX-3,SUV,2018 Mazda CX-3 Maxx (fwd),USED,Automatic,"4 cyl, 2 L",Front,Unleaded,6.1 L / 100 km,65230,"Minchinbury, NSW",4 cyl,SUV, 4 Doors, 5 Seats,25995
Mitsubishi,Outlander,SUV,2021 Mitsubishi Outlander ES 7 Seat (2WD),USED,Automatic,"4 cyl, 2.4 L",Front,Unleaded,7.2 L / 100 km,44568,"Albion Park, NSW",4 cyl,SUV, 4 Doors, 7 Seats,29990
Mazda,3,Sedan,2021 Mazda 3 G25 Astina,USED,Automatic,"4 cyl, 2.5 L",Front,Unleaded,6.5 L / 100 km,12496,"Enfield, SA",4 cyl,Sedan, 4 Doors, 5 Seats,37990
Mazda,BT-50,Ute / Tray,2018 Mazda BT-50 XT (4X4),USED,Manual,"5 cyl, 3.2 L",4WD,Diesel,8.9 L / 100 km,89520,"Medlow Bath, NSW",5 cyl,Ute / Tray, 4 Doors, 5 Seats,39990
Toyota,HiAce,Edward Lees Imports,2022 Toyota HiAce 10 SEATS,USED,Automatic,-,Other,Unleaded,-,658,"West Ryde, NSW",-,Commercial,,,79888
Holden,UTE,Ute / Tray,2013 Holden UTE,USED,Automatic,"6 cyl, 3.6 L",Rear,Unleaded,9.9 L / 100 km,157828,"Minchinbury, NSW",6 cyl,Ute / Tray, 2 Doors, 2 Seats,19990
Toyota,Rav,Newcastles Cheapest Cars Used,2011 Toyota Rav 4 CV,USED,Manual,-,Other,Unleaded,-,279568,"Maryville, NSW",-,Wagon,,,10980
Jeep,Grand,SUV,2014 Jeep Grand Cherokee Summit (4X4),USED,Automatic,"6 cyl, 3 L",4WD,Diesel,7.5 L / 100 km,171650,"Minchinbury, NSW",6 cyl,SUV, 4 Doors, 5 Seats,32995
Toyota,C-HR,SUV,2021 Toyota C-HR GR-S (2WD) Hybrid,USED,Automatic,"4 cyl, 1.8 L",Front,Hybrid,4.3 L / 100 km,34779,"North Wollongong, NSW",4 cyl,SUV, 4 Doors, 5 Seats,46990
Holden,Colorado,Ute / Tray,2015 Holden Colorado LS (4X2),USED,Automatic,"4 cyl, 2.8 L",Rear,Diesel,8.9 L / 100 km,200486,"Minchinbury, NSW",4 cyl,Ute / Tray, 4 Doors, 5 Seats,20990
Mitsubishi,Triton,Adelaide Vehicle Centre Hills,2018 Mitsubishi Triton GLX,USED,Manual,-,Other,Diesel,-,53906,"Strathalbyn, SA",-,Ute / Tray,,,34990
